candidate_id,date,title,category,actors,rationale,inclusion_status,notes
CAND-V3-021,2024-04-08,U.S. announces preliminary CHIPS award for TSMC Arizona,Strategic investment and supply-chain security,"U.S. Commerce; TSMC","Preliminary CHIPS package included grants and loans for TSMC's Arizona expansion.",Exclude,"Duplicate of V2 event E011, TSMC CHIPS Act Preliminary Terms."
CAND-V3-022,2024-05-24,China establishes Big Fund III,State support and industrial policy,"China Integrated Circuit Industry Investment Fund; Chinese state-linked banks; Beijing","Large state-backed semiconductor fund signaled continued import-substitution and domestic-capacity investment.",Include,"Strong China state-support counterpoint to U.S. and allied subsidy events."
CAND-V3-023,2022-08-02,U.S. House Speaker Nancy Pelosi visits Taiwan,Taiwan security and diplomatic shock,"Nancy Pelosi; Taiwan government; China","High-profile U.S. congressional visit to Taiwan triggered Beijing's backlash.",Exclude,"Duplicate of V2 event E002, Pelosi Visit."
CAND-V3-024,2022-08-04,China begins large-scale live-fire drills around Taiwan,Taiwan security and military demonstration,"PLA; Taiwan; United States; Japan","PLA exercises encircled Taiwan after Pelosi's visit and included missile activity.",Exclude,"Duplicate of V2 event E004, PLA Military Exercises After Pelosi Visit."
CAND-V3-025,2024-01-13,Lai Ching-te wins Taiwan presidential election,Taiwan security and political signaling,"Taiwan voters; DPP; Lai Ching-te; China","DPP retained the presidency despite Beijing's opposition to Lai's political positioning.",Include,"Strong political-signaling event; weekend date requires trading-day alignment."
CAND-V3-026,2024-05-23,China launches Joint Sword-2024A after Lai inauguration,Taiwan security and military demonstration,"PLA; Taiwan; Lai administration","Large PLA drills followed Lai's inauguration.",Exclude,"Duplicate of V2 event E013, Joint Sword-2024A."
CAND-V3-027,2023-04-08,China launches Joint Sword drills after Tsai-McCarthy meeting,Taiwan security and military demonstration,"PLA; Tsai Ing-wen; Kevin McCarthy; United States","PLA exercises followed Tsai's U.S. transit and meeting with the U.S. House Speaker.",Exclude,"Duplicate of V2 event E007, Joint Sword 2023."
CAND-V3-028,2024-01-15,Nauru switches recognition from Taiwan to China,Diplomatic recognition competition,"Nauru; Taiwan; China","Nauru severed ties with Taiwan and recognized China shortly after Taiwan's election.",Include,"Strong recognition-diplomacy event; already appears in broader V3 file but not conservative V2 baseline."
CAND-V3-029,2023-03-26,Honduras cuts ties with Taiwan and recognizes China,Diplomatic recognition competition,"Honduras; Taiwan; China","Honduras formally switched diplomatic recognition to Beijing.",Include,"Strong recognition-diplomacy event; weekend date requires trading-day alignment."
CAND-V3-030,2020-03-26,U.S. TAIPEI Act signed,Diplomatic recognition competition,"United States; Taiwan; China; Taiwan's diplomatic partners","U.S. law supported Taiwan's international space and diplomatic relationships.",Include,"Good legislative countermeasure to Beijing's diplomatic-isolation campaign."
